Pc: [0.0, 0.0, 0.0], Surprise: [0.0, 0.0, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.41576118835714415, 0.3199229542717201, 0.6340763490997771], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.39015969528359956, 0.39015969528359956, 0.5635301829358969], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 8
Pc: [0.0, 0.0, 0.0], Surprise: [0.5605030130784866, 0.5605030130784866, 0.5914465116654499], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 8
Pc: [0.0, 0.0, 0.0], Surprise: [0.5861831496963663, 0.5861831496963663, 0.2966306613331891], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 7
Pc: [0.0, 0.0, 0.0], Surprise: [0.6087564363707444, 0.6087564363707444, 0.1757790792081692], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.6287676733591245, 0.6287676733591245, 0.10070839885885956], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.6466406649785786, 0.6466406649785786, 0.3696925920028098], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.662709933382986, 0.662709933382986, 0.12761653717805346], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.6772430411026018, 0.6772430411026018, 0.07518129502697002], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 14
Pc: [0.0, 0.0, 0.0], Surprise: [0.6904565708496748, 0.6904565708496748, 0.04107992373274655], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 21
Pc: [0.0, 0.0, 0.0], Surprise: [0.4253643021623207, 0.4253643021623207, 0.23425379171485988], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 7
Pc: [0.0, 0.0, 0.0], Surprise: [0.2617151338565495, 0.5145392392540867, 0.2640141975090431], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 8
Pc: [0.0, 0.0, 0.0], Surprise: [0.15964132839088285, 0.5310044064107188, 0.2916073132969559], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 14
Pc: [0.0, 0.0, 0.0], Surprise: [0.5145392392540867, 0.5462836608130552, 0.3171960429882975], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 22
Pc: [0.0, 0.0, 0.0], Surprise: [0.5310044064107188, 0.5605030130784866, 0.34095135531482446], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 17
Pc: [0.0, 0.0, 0.0], Surprise: [0.5462836608130552, 0.573771343001855, 0.36303892865247256], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 17
Pc: [0.0, 0.0, 0.0], Surprise: [0.5605030130784866, 0.5861831496963663, 0.05829770499183383], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 16
Pc: [0.0, 0.0, 0.0], Surprise: [0.573771343001855, 0.5978208097977271, 0.03239210858986648], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.18872187554086714, 0.6087564363707444, 0.26766966626755007], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 18
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.6190534142946099, 0.28818532978568046], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.47063913471263563, 0.45643555680040354, 0.30758051367252626], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 16
Pc: [0.0, 0.0, 0.0], Surprise: [0.216223052515299, 0.5087626581756669, 0.32592570510119434], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 15
Pc: [0.0, 0.0, 0.0], Surprise: [0.3806178053212363, 0.5201679763838716, 0.3432907868402149], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 15
Pc: [0.0, 0.0, 0.0], Surprise: [0.3948134233665795, 0.5310044064107188, 0.046541019661040205], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.40832722141767247, 0.5413141837994596, 0.2698164398767866], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.42120537536788005, 0.5511355112769706, 0.06154561739743636], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.43349049344709467, 0.5605030130784866, 0.2116750996066195], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 9
Pc: [0.0, 0.0, 0.0], Surprise: [0.44522183665872644, 0.5694481329895605, 0.22739114789198128], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 14
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.5779994831168468, 0.07701569468340091], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 10
Pc: [0.0, 0.0, 0.0], Surprise: [0.4671649369657766, 0.5861831496963663, 0.05073419257635014], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.47744062546305926, 0.5940229615244289, 0.03164960717148964], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 18
Pc: [0.0, 0.0, 0.0], Surprise: [0.24212153746160464, 0.6015407259047643, 0.18003468978123696], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.40832722141767247, 0.6087564363707444, 0.042548661920412435], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 4
Pc: [0.0, 0.0, 0.0], Surprise: [0.4186785012362973, 0.6156884558735031, 0.14164580102987567], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 3
Pc: [0.0, 0.0, 0.0], Surprise: [0.4286450255720453, 0.6223536786262998, 0.05404652393108845], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.26646207089133345, 0.6287676733591245, 0.11044147992635549], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.37075077614396545, 0.6349448103597151, 0.12282199008153741], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.3806178053212363, 0.6408983743514503, 0.06593194462450881], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
