Pc: [0.0, 0.0, 0.0], Surprise: [0.0, 0.0, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.0817041659455104, 0.0817041659455104, 0.0817041659455104], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.18872187554086714, 0.18872187554086714, 0.18872187554086714], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 40
Pc: [0.0, 0.0, 0.0], Surprise: [0.2780719051126378, 0.2780719051126378, 0.2780719051126378], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 44
Pc: [0.0, 0.0, 0.0], Surprise: [0.34997757835164583, 0.34997757835164583, 0.34997757835164583], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 40
Pc: [0.0, 0.0, 0.0], Surprise: [0.40832722141767247, 0.40832722141767247, 0.40832722141767247], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 31
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.45643555680040354, 0.45643555680040354], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 21
Pc: [0.0, 0.0, 0.0], Surprise: [0.4967416652243543, 0.4967416652243543, 0.4967416652243543], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 15
Pc: [0.0, 0.0, 0.0], Surprise: [0.5310044064107188, 0.5310044064107188, 0.5310044064107188], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 8
Pc: [0.0, 0.0, 0.0], Surprise: [0.5605030130784866, 0.5605030130784866, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 4
Pc: [0.0, 0.0, 0.0], Surprise: [0.5861831496963663, 0.5861831496963663, 0.3159615643609584], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 4
Pc: [0.0, 0.0, 0.0], Surprise: [0.6087564363707444, 0.6087564363707444, 0.0817041659455104], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.0, 0.0, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 5
Pc: [0.0, 0.0, 0.0], Surprise: [0.40832722141767247, 0.40832722141767247, 0.029049405545331346], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.43349049344709467, 0.43349049344709467, 0.18872187554086714], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.45643555680040354, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.47744062546305926, 0.47744062546305926, 0.10950835978050867], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.4967416652243543, 0.4967416652243543, 0.13687943143336898], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.5145392392540867, 0.5145392392540867, 0.16335925805883272], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.5310044064107188, 0.5310044064107188, 0.014771863965748469], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.0817041659455104, 0.5462836608130552, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.40832722141767247, 0.5605030130784866, 0.10396176746544257], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.18872187554086714, 0.573771343001855, 0.008923940161777841], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.3159615643609584, 0.5861831496963663, 0.06333261812243758], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 1
Pc: [0.0, 0.0, 0.0], Surprise: [0.3334216420050795, 0.5978208097977271, 0.029049405545331346], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.34997757835164583, 0.6087564363707444, 0.035921235191770984], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
